epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,994.085,0.91816,0.55202,0.86832,0.68115,0.70846,0.72913,0.46033,0.89414,0.58138,0.87503,0.002435,0.002435,0.002435
59,1011.06,0.91054,0.54666,0.8692,0.7387,0.66838,0.72802,0.46462,0.8773,0.55688,0.86565,0.00239,0.00239,0.00239
60,1028.04,0.91184,0.55098,0.86285,0.6981,0.70061,0.72679,0.45461,0.89494,0.573,0.87335,0.002345,0.002345,0.002345
61,1045.32,0.90657,0.54483,0.8651,0.72841,0.69003,0.7369,0.4753,0.87997,0.5671,0.87122,0.0023,0.0023,0.0023
62,1062.38,0.8931,0.53519,0.86183,0.71664,0.68821,0.73416,0.47231,0.88766,0.57931,0.87313,0.002255,0.002255,0.002255
63,1079.58,0.88253,0.53073,0.85962,0.74818,0.6802,0.74475,0.47442,0.87305,0.57338,0.86635,0.00221,0.00221,0.00221
64,1096.64,0.9011,0.54247,0.86023,0.73579,0.69034,0.74422,0.47201,0.90545,0.55791,0.88076,0.002165,0.002165,0.002165
65,1113.62,0.89286,0.52405,0.85889,0.75612,0.68009,0.74529,0.48095,0.86818,0.53438,0.86916,0.00212,0.00212,0.00212
66,1130.63,0.88877,0.52121,0.86107,0.72902,0.69073,0.74307,0.47926,0.86166,0.54472,0.87015,0.002075,0.002075,0.002075
67,1147.5,0.87886,0.52548,0.85895,0.7409,0.67558,0.72992,0.47238,0.8823,0.55392,0.87156,0.00203,0.00203,0.00203
68,1164.48,0.88353,0.52383,0.85975,0.7441,0.71527,0.74807,0.47844,0.86568,0.5356,0.86709,0.001985,0.001985,0.001985
69,1181.63,0.88745,0.52321,0.86133,0.74292,0.68328,0.73941,0.47371,0.87303,0.5532,0.8703,0.00194,0.00194,0.00194
