epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,1289.66,0.89259,0.52766,0.85066,0.74683,0.65922,0.72039,0.44912,0.92654,0.60225,0.87498,0.00095,0.00095,0.00095
92,1302.46,0.8757,0.51689,0.85371,0.73661,0.65615,0.71167,0.44841,0.93184,0.59507,0.87558,0.000905,0.000905,0.000905
93,1315.76,0.87258,0.50853,0.84751,0.75511,0.65033,0.72748,0.45054,0.91986,0.58692,0.86771,0.00086,0.00086,0.00086
94,1328.91,0.8686,0.50355,0.8499,0.7948,0.66081,0.72705,0.4582,0.912,0.57433,0.8689,0.000815,0.000815,0.000815
95,1342.44,0.8563,0.49949,0.844,0.75456,0.65132,0.72268,0.45037,0.92141,0.58953,0.87044,0.00077,0.00077,0.00077
96,1355.56,0.86211,0.49643,0.84156,0.75222,0.68038,0.73505,0.4602,0.91952,0.56631,0.86529,0.000725,0.000725,0.000725
97,1368.9,0.85887,0.49648,0.84644,0.759,0.6783,0.73023,0.46189,0.90472,0.56518,0.86204,0.00068,0.00068,0.00068
98,1383.28,0.85615,0.4979,0.83946,0.78396,0.66202,0.73447,0.45966,0.91832,0.56167,0.8728,0.000635,0.000635,0.000635
99,1398.89,0.85622,0.49054,0.84261,0.74773,0.66895,0.72964,0.45904,0.90888,0.57587,0.86812,0.00059,0.00059,0.00059
100,1412.9,0.85151,0.48685,0.84529,0.7697,0.6579,0.72827,0.46634,0.90158,0.56584,0.86523,0.000545,0.000545,0.000545
