epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,1072.83,0.909,0.55654,0.86206,0.71947,0.71395,0.75046,0.47816,0.87776,0.55811,0.8556,0.002255,0.002255,0.002255
63,1090.08,0.90131,0.54851,0.86191,0.69326,0.72259,0.7536,0.47207,0.89912,0.57711,0.86186,0.00221,0.00221,0.00221
64,1107.31,0.91742,0.55675,0.86109,0.72718,0.70935,0.73047,0.4699,0.87949,0.56261,0.85778,0.002165,0.002165,0.002165
65,1125.26,0.91387,0.55089,0.86191,0.71456,0.6789,0.73422,0.47284,0.87222,0.5608,0.85861,0.00212,0.00212,0.00212
66,1142.47,0.90751,0.55205,0.86279,0.6849,0.71825,0.74419,0.46805,0.88858,0.56449,0.8641,0.002075,0.002075,0.002075
67,1159.64,0.91934,0.55455,0.8649,0.74787,0.67851,0.74155,0.4645,0.91743,0.58853,0.86863,0.00203,0.00203,0.00203
68,1176.82,0.9165,0.55432,0.86506,0.71286,0.70694,0.74427,0.4738,0.87965,0.54579,0.86221,0.001985,0.001985,0.001985
69,1194.08,0.90461,0.54732,0.86199,0.68921,0.71343,0.74036,0.47957,0.86378,0.55173,0.85178,0.00194,0.00194,0.00194
70,1211.28,0.90406,0.5427,0.85954,0.74752,0.71497,0.76237,0.47914,0.88667,0.55523,0.86661,0.001895,0.001895,0.001895
71,1229.08,0.8993,0.53424,0.85967,0.73006,0.71884,0.75921,0.48644,0.87231,0.54412,0.86328,0.00185,0.00185,0.00185
72,1246.34,0.89036,0.53792,0.86012,0.71775,0.73741,0.76202,0.49259,0.87756,0.54114,0.85916,0.001805,0.001805,0.001805
73,1263.86,0.8987,0.53891,0.85729,0.73592,0.70385,0.76368,0.47701,0.89284,0.55211,0.86518,0.00176,0.00176,0.00176
74,1280.98,0.88865,0.53851,0.85684,0.76281,0.68818,0.75426,0.48352,0.87617,0.54285,0.85852,0.001715,0.001715,0.001715
75,1298.41,0.87836,0.52821,0.85594,0.75084,0.72159,0.76393,0.49393,0.86106,0.54014,0.85715,0.00167,0.00167,0.00167
76,1315.84,0.88628,0.52988,0.85721,0.72744,0.72343,0.75158,0.48461,0.86071,0.54754,0.85464,0.001625,0.001625,0.001625
77,1333.37,0.88113,0.52122,0.85339,0.72015,0.7322,0.76742,0.49208,0.86596,0.55532,0.85893,0.00158,0.00158,0.00158
78,1350.53,0.88789,0.52889,0.85744,0.76113,0.69456,0.75786,0.48506,0.87154,0.53719,0.86234,0.001535,0.001535,0.001535
79,1367.72,0.87229,0.51927,0.85534,0.77679,0.69116,0.7592,0.49415,0.85523,0.54726,0.85083,0.00149,0.00149,0.00149
80,1384.93,0.87678,0.52246,0.85251,0.73016,0.72364,0.76101,0.48941,0.86597,0.52596,0.8572,0.001445,0.001445,0.001445
81,1402.16,0.87666,0.52613,0.85229,0.73902,0.73053,0.76792,0.49689,0.85793,0.51287,0.85514,0.0014,0.0014,0.0014
82,1419.65,0.8606,0.51736,0.85367,0.71847,0.72431,0.76838,0.49103,0.86933,0.52711,0.85972,0.001355,0.001355,0.001355
83,1436.86,0.87345,0.50914,0.85101,0.7665,0.71067,0.76775,0.49363,0.8636,0.5271,0.85752,0.00131,0.00131,0.00131
84,1454.36,0.85951,0.51367,0.85229,0.72511,0.73233,0.76325,0.4943,0.85413,0.53516,0.85491,0.001265,0.001265,0.001265
85,1471.52,0.85928,0.50437,0.85021,0.74158,0.74124,0.76973,0.50197,0.84387,0.52412,0.85216,0.00122,0.00122,0.00122
86,1488.79,0.84865,0.49769,0.84967,0.72385,0.73179,0.76761,0.50619,0.85265,0.52775,0.85368,0.001175,0.001175,0.001175
87,1506.46,0.86043,0.50298,0.84812,0.72031,0.73108,0.76893,0.49091,0.87107,0.52762,0.86311,0.00113,0.00113,0.00113
88,1523.79,0.85514,0.50177,0.85085,0.73955,0.73126,0.77226,0.49539,0.85602,0.52679,0.8542,0.001085,0.001085,0.001085
89,1541.06,0.86272,0.51079,0.8525,0.76841,0.68211,0.76599,0.49102,0.8563,0.52089,0.85499,0.00104,0.00104,0.00104
90,1558.43,0.84601,0.49535,0.84437,0.75255,0.71795,0.77206,0.49733,0.84921,0.53269,0.85203,0.000995,0.000995,0.000995
91,1591.26,0.83199,0.49243,0.84013,0.74738,0.70214,0.75988,0.49082,0.85879,0.53945,0.85561,0.00095,0.00095,0.00095
92,1608.26,0.81324,0.4785,0.84128,0.73617,0.71326,0.7606,0.48665,0.86094,0.53169,0.85861,0.000905,0.000905,0.000905
93,1625.15,0.81057,0.47066,0.837,0.73919,0.69757,0.76076,0.49297,0.86406,0.55061,0.857,0.00086,0.00086,0.00086
94,1641.97,0.80088,0.46618,0.83694,0.72734,0.71424,0.76392,0.48943,0.86104,0.52806,0.85115,0.000815,0.000815,0.000815
95,1659.08,0.80099,0.46585,0.83487,0.75247,0.67282,0.75744,0.48481,0.86749,0.54023,0.85234,0.00077,0.00077,0.00077
96,1676.03,0.79387,0.46177,0.83109,0.72611,0.71505,0.76769,0.49801,0.86049,0.52397,0.85428,0.000725,0.000725,0.000725
97,1693.04,0.79788,0.45745,0.83624,0.73965,0.71499,0.77326,0.49848,0.85292,0.51714,0.85343,0.00068,0.00068,0.00068
98,1710.21,0.79119,0.4539,0.82903,0.7164,0.71151,0.76718,0.49471,0.85497,0.51707,0.853,0.000635,0.000635,0.000635
99,1727.35,0.78849,0.44988,0.83199,0.76893,0.69133,0.76682,0.49575,0.8416,0.51738,0.84881,0.00059,0.00059,0.00059
100,1744.43,0.78865,0.44972,0.83332,0.72503,0.72569,0.76803,0.49534,0.84292,0.52756,0.84743,0.000545,0.000545,0.000545
